athlete_full_name,country_id,athlete_id
Yukio MAKINO,122.0,179
Kenji TAKAHASHI,122.0,180
Chris LANGRIDGE,131.0,181
Boyang JIN,19.0,182
Yi ZHU,19.0,183
Jessica YEATON,7.0,184
Casey WRIGHT,7.0,185
Brian MALFESI,81.0,186
Vincent JOURDENAIS,81.0,187
Jun Hui LI,19.0,188
Yu Chen LIU,19.0,189
Seungjae SEO,20.0,190
Yujung CHAE,20.0,191
Marius COZMIUC,91.0,192
Ciprian TUDOSA,91.0,193
Anders Berntsen MOL,18.0,194
Christian Sandlie SORUM,18.0,195
Jake VEDDER,71.0,196
Faye GULINI,71.0,197
Ioulia CHTCHETININA,9.0,198
Mark MAGYAR,9.0,199
Haruka NAKAGUCHI,122.0,200
Naoya OKADA,122.0,201
Olfa CHARNI,99.0,202
Ala ALOTHMANI,99.0,203
Pavlo ALTUKHOV,36.0,204
Dmytro IANCHUK,36.0,205
Laura SIEGEMUND,29.0,206
Kevin KRAWIETZ,29.0,207
Shuko AOYAMA,122.0,208
Ena SHIBAHARA,122.0,209
Patrick KEANE,81.0,210
Maxwell LATTIMER,81.0,211
Mariafe ARTACHO DEL SOLAR,7.0,212
Taliqua CLANCY,7.0,213
Christopher SPRING,81.0,214
Lascelles BROWN,81.0,215
Grzegorz FIJALEK,14.0,216
Mariusz PRUDEL,14.0,217
Hiroshi NAKANO,122.0,218
Hideki OMOTO,122.0,219
Borys SHVETS,36.0,220
Pavlo MATSUYEV,36.0,221
Phillip CHEW,71.0,222
Sattawat PONGNAIRAT,71.0,223
Aleksandr DENISEV,92.0,224
Vladislav ANTONOV,92.0,225
Yukie NAKAYAMA,122.0,226
Shigetaka OYAMA,122.0,227
Anna CAPPELLINI,90.0,228
Luca LANOTTE,90.0,229
Joana HEIDRICH,32.0,230
Nadine ZUMKEHR,32.0,231
Liam HEATH,131.0,232
Jon SCHOFIELD,131.0,233
Nur Dhabitah SABRI,33.0,234
Adam LAMBERT,7.0,235
Josie BAFF,7.0,236
Maria KAZAKOVA,36.0,237
Georgy REVIYA,36.0,238
Emanuel RIEDER,90.0,239
Simon KAINZWALDNER,90.0,240
Jose Diego BALLEZA ISAIAS,85.0,241
Kevin BERLIN REYES,85.0,242
Nadia PODOROSKA,144.0,243
Horacio ZEBALLOS,144.0,244
Roman FURGER,32.0,245
Dario COLOGNA,32.0,246
Sebastien JOUVE,54.0,247
Maxime BEAUMONT,54.0,248
Paula WALKER,131.0,249
Rebekah WILSON,131.0,250
Olga FYODOROVA,27.0,251
Liudmila UDOBKINA,27.0,252
Marissa CASTELLI,71.0,253
Simon SHNAPIR,71.0,254
Rachel BUGG,7.0,255
Loudy TOURKY,7.0,256
Victoria SINITSINA,92.0,257
Nikita KATSALAPOV,92.0,258
Yahel CASTILLO,85.0,259
Juan Manuel CELAYA HERNANDEZ,85.0,260
Amy PIETERS,14.0,261
Kirsten WILD,14.0,262
Syaqiera MASHAYIKH,33.0,263
Khairul Anuar MOHAMAD,33.0,264
Saulius RITTER,104.0,265
Aurimas ADOMAVICIUS,104.0,266
Emanuel SILVA,123.0,267
Joao RIBEIRO,123.0,268
Erin RAFUSE,81.0,269
Dannie BOYD,81.0,270
Thomas BARROWS,71.0,271
Joe MORRIS,71.0,272
Ingrid OLIVEIRA,56.0,273
Giovanna PEDROSO,56.0,274
Olga SAVCHUK,36.0,275
Elina SVITOLINA,36.0,276
Olivia Sophie Smart,127.0,277
Jack LOPAS,51.0,278
Christopher HARRIS,51.0,279
Christina HENGSTER,94.0,280
Valerie KLEISER,94.0,281
Yuki FUKUSHIMA,122.0,282
Sayaka HIROTA,122.0,283
Igor KHMARA,36.0,284
